DO-20240910-11568,Do it Best,"South Joyceburgh, AS",Electrical,Electrical Upgrade,ELE-382095,Behr,187.31,20,5,3746.2,3558.89,Contractors' Warehouse CBC,2024-09-10 02:15:59
LOW-20241106-63550,Lowe's,"New Scott, MS",Drywall & Insulation,Electrical Upgrade,DRY-123851,Philips,29.88,75,15,2241,1904.85,Lowe's MVPs Pro Rewards,2024-11-06 07:02:37
LOW-20241110-17341,Lowe's,"Floresfort, AK",Outdoor & Garden,Landscaping,OUT-878292,Makita,155.18,10,15,1551.8,1319.03,Ace Rewards,2024-11-10 05:37:10
HAR-20240724-68170,Harbor Freight Tools,"North Margaretside, IL",Tools & Hardware,Irrigation Setup,TOO-526831,LG,799.08,1,0,799.08,799.08,None,2024-07-24 16:02:53
CON-20240317-39471,Contractors' Warehouse,"Burketown, PR",Lumber & Building Materials,Electrical Upgrade,LUM-453299,Kobalt,24.68,30,18,740.4,607.13,Ace Rewards,2024-03-17 09:34:47
ACE-20250723-12817,Ace Hardware,"Port Dominiqueview, FL",,Roof Repair,KIT-784519,Milwaukee,1989.69,12,5,23876.28,22682.47,Do it Best Rewards,2025-07-23 18:36:47
ACE-20240712-93941,Ace Hardware,"Beckermouth, MA",Flooring,Electrical Upgrade,FLO-136466,Toro,3.76,295,0,1109.2,1109.2,Lowe's MVPs Pro Rewards,2024-07-12 19:33:13
LOW-20240516-70955,Lowe's,,Doors & Windows,Flooring Install,DOO-950203,Whirlpool,490.01,8,10,3920.08,3528.07,None,2024-05-16 17:05:00
MEN-20240506-54477,Menards,"Brittanyborough, NE",Outdoor & Garden,HVAC Replacement,OUT-491404,DEWALT,1340.35,1,0,1340.35,1340.35,Home Depot Pro Xtra,2024-05-06 08:55:48
LOW-20240227-51049,Lowe's,"Andersonshire, ND",HVAC,Irrigation Setup,HVA-939567,Schlage,1804.3,6,0,10825.8,10825.8,Contractors' Warehouse CBC,2024-02-27 04:13:06
84-20240512-36897,84 Lumber,"Woodstown, WA",Lighting & Fans,Door Install,LIG-327351,Milwaukee,320.59,5,10,1602.95,1442.65,Contractors' Warehouse CBC,2024-05-12 15:36:34
CON-20240919-17854,Contractors' Warehouse,"West David, IA",Lighting & Fans,Fence Installation,LIG-725417,Husky,348.02,5,0,1740.1,1740.1,Home Depot Pro Xtra,2024-09-19 01:17:34
FLO-20250204-51705,Floor & Decor,"Katherineborough, NJ",Lighting & Fans,Flooring Install,LIG-437293,Makita,558.33,2,0,1116.66,1116.66,Contractors' Warehouse CBC,2025-02-04 17:06:09
LOW-20240921-28948,Lowe's,"Williamview, DC",Drywall & Insulation,Garage Organization,DRY-504374,Samsung,9.7,2,10,19.4,17.46,None,2024-09-21 09:19:29
CON-20241109-72842,Contractors' Warehouse,"West Lauren, MO",Flooring,Plumbing Rough-In,FLO-425397,Delta,3.07,238,25,730.66,548,Do it Best Rewards,2024-11-09 16:55:32
HAR-20240604-27408,Harbor Freight Tools,"Smithborough, AR",Paint,Interior Painting,PAI-196403,Makita,198.15,2,0,396.3,396.3,Ace Rewards,2024-06-04 13:55:09
ACE-20240618-91145,Ace Hardware,"Port Ginamouth, NJ",Flooring,Flooring Install,FLO-867691,DEWALT,1.71,289,15,494.19,420.06,Menards Contractor,2024-06-18 21:35:42
COS-20250630-61444,Costco,"West Marieshire, NM",Plumbing,Shed Construction,PLU-983680,Makita,95.11,100,15,9511,8084.35,Ace Rewards,2025-06-30 04:55:46
ACE-20250624-91914,Ace Hardware,"Mortonstad, OH",Appliances,HVAC Replacement,APP-700346,DEWALT,564.32,8,0,4514.56,4514.56,Home Depot Pro Xtra,2025-06-24 17:04:03
HAR-20250307-82670,Harbor Freight Tools,"Branchstad, WV",Tools & Hardware,Plumbing Rough-In,TOO-295745,GE,210.89,75,0,15816.75,15816.75,Do it Best Rewards,2025-03-07 11:38:48
LOW-20241123-23858,Lowe's,"Makaylaberg, MA",Drywall & Insulation,Bathroom Renovation,DRY-556499,Rust-Oleum,91.61,2,0,183.22,183.22,Contractors' Warehouse CBC,2024-11-23 07:37:22
DO-20241105-79168,Do it Best,"West Royton, ME",Flooring,Electrical Upgrade,FLO-293663,GE,1.15,64,25,73.6,55.2,Home Depot Pro Xtra,2024-11-05 17:11:56
DO-20240303-80533,Do it Best,"West Benjamin, ME",Drywall & Insulation,Electrical Upgrade,DRY-964765,Kobalt,101.64,5,10,508.2,457.38,Lowe's MVPs Pro Rewards,2024-03-03 19:53:57
ACE-20250721-38719,Ace Hardware,,Appliances,Garage Organization,APP-771744,Samsung,2787.37,20,20,55747.4,44597.92,Home Depot Pro Xtra,2025-07-21 12:20:52
MEN-20240815-10720,Menards,"Sandraville, PA",Drywall & Insulation,Door Install,DRY-883871,LG,123.82,25,20,3095.5,2476.4,Lowe's MVPs Pro Rewards,2024-08-15 03:12:46
DO-20250730-68390,Do it Best,"Lake Lisa, NJ",Tools & Hardware,Landscaping,TOO-613169,GE,1412.96,8,0,11303.68,11303.68,None,2025-07-30 09:47:22
CON-20241203-30851,Contractors' Warehouse,"Jessicastad, MD",Appliances,Exterior Painting,APP-762999,DEWALT,627.5,15,0,9412.5,9412.5,Home Depot Pro Xtra,2024-12-03 11:44:10
DO-20240321-19427,Do it Best,"North Mario, ND",Storage & Organization,Fence Installation,STO-352854,Moen,393.12,4,0,1572.48,1572.48,,2024-03-21 06:26:52
84-20240403-90737,84 Lumber,"Sotoport, NE",Paint,Landscaping,PAI-403220,Moen,289.91,40,15,11596.4,9856.94,Do it Best Rewards,2024-04-03 04:45:35
LOW-20240615-48008,Lowe's,"Lake Bonnieside, HI",Tools & Hardware,Garage Organization,TOO-529219,Rust-Oleum,1402.85,2,0,2805.7,2805.7,Menards Contractor,2024-06-15 18:44:19
THE-20241210-87550,The Home Depot,"Carolyntown, GU",Doors & Windows,HVAC Replacement,DOO-417950,DEWALT,455.9,10,15,4559,3875.15,Menards Contractor,2024-12-10 16:46:47
FLO-20240828-11562,Floor & Decor,"East Tarabury, NE",Lumber & Building Materials,Kitchen Remodel,LUM-843049,Kwikset,964.03,8,0,7712.24,7712.24,,2024-08-28 07:32:48
WAL-20250716-87532,Walmart,"Herringville, MI",Lumber & Building Materials,Roof Repair,LUM-375488,Bosch,940.74,12,5,11288.88,10724.44,Contractors' Warehouse CBC,2025-07-16 06:50:03
THE-20250604-94809,The Home Depot,"Sparksland, MI",Flooring,Roof Repair,FLO-953511,Rust-Oleum,5.32,262,20,1393.84,1115.07,Do it Best Rewards,2025-06-04 19:45:00
